Complaint Type,Location Type,Street Name,Borough
General Construction/Plumbing,nan,CLASSON AVENUE,BROOKLYN
Lost Property,nan,GRAND ARMY PLAZA,MANHATTAN
General Construction/Plumbing,nan,70 STREET,BROOKLYN
Building/Use,nan,35 AVENUE,QUEENS
Noise - Residential,nan,EAST  115 STREET,MANHATTAN
Noise - Residential,nan,61 STREET,BROOKLYN
Building/Use,nan,KLONDIKE AVENUE,STATEN ISLAND
Traffic Signal Condition,nan,nan,BROOKLYN
Building/Use,nan,POST AVENUE,STATEN ISLAND
Lost Property,nan,FULTON STREET,MANHATTAN
Sidewalk Condition,Sidewalk,113 AVENUE,QUEENS
Sidewalk Condition,Sidewalk,ELM STREET,STATEN ISLAND
Blocked Driveway,Street/Sidewalk,GATES AVENUE,BROOKLYN
Sidewalk Condition,Sidewalk,DEKALB AVENUE,QUEENS
Building/Use,nan,75 AVENUE,QUEENS
Noise - Residential,nan,BOYNTON AVENUE,BRONX
Building/Use,nan,80 STREET,QUEENS
Building/Use,nan,70 STREET,BROOKLYN
Building/Use,nan,14 AVENUE,BROOKLYN
Noise - Residential,nan,EAST  118 STREET,MANHATTAN
Noise - Residential,nan,EAST  137 STREET,BRONX
Noise - Residential,Residential Building/House,NOSTRAND AVENUE,BROOKLYN
Building/Use,nan,WEST   88 STREET,MANHATTAN
Lost Property,nan,9 AVENUE,MANHATTAN
Building/Use,nan,133 STREET,QUEENS
Noise - Residential,nan,ST NICHOLAS AVENUE,MANHATTAN
Building/Use,nan,98 STREET,QUEENS
Noise - Residential,nan,FOUNTAIN AVENUE,BROOKLYN
Blocked Driveway,Street/Sidewalk,CLARKSON AVENUE,BROOKLYN
Blocked Driveway,Street/Sidewalk,74 PLACE,QUEENS
Sidewalk Condition,Sidewalk,HULL AVENUE,BRONX
Blocked Driveway,Street/Sidewalk,MARION AVENUE,BRONX
Noise - Residential,nan,HORACE HARDING EXPRE,QUEENS
Missed Collection (All Materials),Sidewalk,FRANKLIN STREET,BROOKLYN
Noise - Residential,nan,GRAND CONCOURSE,BRONX
Noise - Residential,nan,DECATUR AVENUE,BRONX
General Construction/Plumbing,nan,179 PLACE,QUEENS
Building/Use,nan,241 STREET,QUEENS
General Construction/Plumbing,nan,60 AVENUE,QUEENS
General Construction/Plumbing,nan,12 AVENUE,QUEENS
General Construction/Plumbing,nan,VAN DAM STREET,QUEENS
General Construction/Plumbing,nan,WEST    5 STREET,BROOKLYN
Noise - Residential,Residential Building/House,BROADWAY,QUEENS
Noise - Residential,Residential Building/House,MONTROSE AVENUE,BROOKLYN
General Construction/Plumbing,nan,COVERT STREET,BROOKLYN
Noise - Residential,Residential Building/House,88 AVENUE,QUEENS
Noise - Residential,Residential Building/House,PELHAM PARKWAY SOUTH,BRONX
Building/Use,nan,WEST   10 STREET,BROOKLYN
Building/Use,nan,52 STREET,BROOKLYN
Vending,nan,7 AVENUE,BROOKLYN
Smoking,Residential Building,34 ROAD,QUEENS
Vending,nan,7 AVENUE,BROOKLYN
Noise - Residential,nan,EAST  141 STREET,BRONX
Building/Use,nan,27 AVENUE,QUEENS
Benefit Card Replacement,NYC Street Address,nan,Unspecified
Noise - Residential,Residential Building/House,ST MARKS AVENUE,BROOKLYN
Noise - Residential,Residential Building/House,EAST  116 STREET,MANHATTAN
Street Condition,nan,nan,BRONX
Street Light Condition,nan,WEST DR,QUEENS
Noise - Residential,Residential Building/House,WADSWORTH AVENUE,MANHATTAN
Emergency Response Team (ERT),nan,SCHOLES STREET,BROOKLYN
Noise - Residential,Residential Building/House,120 STREET,QUEENS
Noise - Residential,Residential Building/House,POWERS STREET,BROOKLYN
Noise - Residential,Residential Building/House,HILLSIDE AVENUE,MANHATTAN
Lost Property,nan,HUDSON STREET,MANHATTAN
Noise - Residential,Residential Building/House,LEGGETT AVENUE,BRONX
DOF Property - Reduction Issue,"1-, 2- and 3- Family Home",nan,QUEENS
Noise - Residential,Residential Building/House,GRAND CONCOURSE,BRONX
General Construction/Plumbing,nan,EAST   31 STREET,MANHATTAN
Noise - Residential,nan,BEACH   54 STREET,QUEENS
General Construction/Plumbing,nan,142 STREET,QUEENS
Noise - Residential,Residential Building/House,EAST   16 STREET,BROOKLYN
Noise - Residential,Residential Building/House,WESTMINSTER ROAD,BROOKLYN
General Construction/Plumbing,nan,102 AVENUE,QUEENS
General Construction/Plumbing,nan,STRICKLAND AVENUE,BROOKLYN
Noise - Residential,Residential Building/House,ZEREGA AVENUE,BRONX
Electrical,nan,249 STREET,QUEENS
Noise - Residential,Residential Building/House,EAST  222 STREET,BRONX
DOF Parking - Request Copy,nan,nan,Unspecified
Noise - Residential,Residential Building/House,WEST   29 STREET,MANHATTAN
General Construction/Plumbing,nan,70 STREET,BROOKLYN
Blocked Driveway,Street/Sidewalk,ROCKAWAY PARKWAY,BROOKLYN
Blocked Driveway,Street/Sidewalk,166 STREET,QUEENS
Street Condition,Street,BEACH   59 STREET,QUEENS
Street Condition,Street,PRINCE STREET,QUEENS
Noise - Residential,Residential Building/House,KINGSBRIDGE AVENUE,STATEN ISLAND
General Construction/Plumbing,nan,MERRIAM AVENUE,BRONX
Noise - Residential,Residential Building/House,101 AVENUE,QUEENS
Indoor Air Quality,1-2 Family Dwelling,112 STREET,QUEENS
Noise - Residential,Residential Building/House,101 AVENUE,QUEENS
Noise - Residential,Residential Building/House,GATES PLACE,BRONX
General Construction/Plumbing,nan,41 AVENUE,QUEENS
SCRIE,Senior Address,nan,BROOKLYN
General Construction/Plumbing,nan,GROVE STREET,QUEENS
Noise - Residential,Residential Building/House,AMSTERDAM AVENUE,MANHATTAN
Noise - Residential,Residential Building/House,EAST   21 STREET,MANHATTAN
Noise - Residential,Residential Building/House,3 AVENUE,MANHATTAN
Noise - Residential,Residential Building/House,203 STREET,QUEENS
Emergency Response Team (ERT),nan,62 STREET,BROOKLYN
Emergency Response Team (ERT),nan,COLUMBUS AVENUE,MANHATTAN
Noise - Residential,Residential Building/House,UNION PORT ROAD,BRONX
Lost Property,nan,EAST   51 STREET,MANHATTAN
Noise - Residential,Residential Building/House,EAST  164 STREET,BRONX
General Construction/Plumbing,nan,MAIN STREET,STATEN ISLAND
Noise - Residential,Residential Building/House,HART STREET,BROOKLYN
Street Condition,Street,OCEAN AVENUE,BROOKLYN
Blocked Driveway,Street/Sidewalk,AVENUE X,BROOKLYN
Blocked Driveway,Street/Sidewalk,66 STREET,BROOKLYN
Blocked Driveway,Street/Sidewalk,SACKMAN STREET,BROOKLYN
Noise - Residential,Residential Building/House,ST NICHOLAS AVENUE,MANHATTAN
Noise - Residential,Residential Building/House,HUGHES AVENUE,BRONX
Damaged Tree,Street,RIDGE ROAD,QUEENS
Noise - Residential,Residential Building/House,GREEN STREET,BROOKLYN
General Construction/Plumbing,nan,133 STREET,QUEENS
General Construction/Plumbing,nan,14 AVENUE,BROOKLYN
General Construction/Plumbing,nan,13 AVENUE,BROOKLYN
General Construction/Plumbing,nan,EAST  104 STREET,BROOKLYN
Blocked Driveway,Street/Sidewalk,FOX STREET,BRONX
Noise - Residential,nan,WEST  164 STREET,MANHATTAN
General Construction/Plumbing,nan,FINDLAY AVENUE,BRONX
Benefit Card Replacement,NYC Street Address,nan,Unspecified
Noise - Residential,nan,MORRIS AVENUE,BRONX
Noise - Residential,nan,ALBEE AVENUE,STATEN ISLAND
General Construction/Plumbing,nan,VERNON AVENUE,BROOKLYN
Noise - Residential,nan,EAST  105 STREET,MANHATTAN
Noise - Residential,nan,WESTFARM ROAD,BRONX
General Construction/Plumbing,nan,EAST   76 STREET,MANHATTAN
Noise - Residential,nan,PENNSYLVANIA AVENUE,BROOKLYN
Noise - Residential,nan,3 AVENUE,BRONX
General Construction/Plumbing,nan,WEST  164 STREET,MANHATTAN
Noise - Residential,nan,YATES AVENUE,BRONX
Blocked Driveway,Street/Sidewalk,33 STREET,QUEENS
Blocked Driveway,Street/Sidewalk,NORTH    8 STREET,BROOKLYN
Taxi Complaint,nan,WEST   29 STREET,MANHATTAN
Blocked Driveway,Street/Sidewalk,150 STREET,QUEENS
General Construction/Plumbing,nan,ANDROVETTE AVENUE,STATEN ISLAND
General Construction/Plumbing,nan,64 STREET,BROOKLYN
Plumbing,nan,WEST  181 STREET,MANHATTAN
General Construction/Plumbing,nan,THOMAS S BOYLAND STREET,BROOKLYN
General Construction/Plumbing,nan,BROADWAY,MANHATTAN
Noise - Residential,nan,BENNETT AVENUE,MANHATTAN
General Construction/Plumbing,nan,WEST   15 STREET,MANHATTAN
General Construction/Plumbing,nan,SACKETT STREET,BROOKLYN
Noise - Residential,nan,73 AVENUE,QUEENS
General Construction/Plumbing,nan,ALBEMARLE ROAD,BROOKLYN
Benefit Card Replacement,NYC Street Address,nan,Unspecified
General Construction/Plumbing,nan,QUINCY STREET,BROOKLYN
Noise - Residential,nan,73 AVENUE,QUEENS
Noise - Residential,nan,HERKIMER STREET,BROOKLYN
Plumbing,nan,12 STREET,QUEENS
Noise - Residential,nan,WEST  174 STREET,MANHATTAN
Plumbing,nan,4 AVENUE,BROOKLYN
Noise - Residential,Residential Building/House,NORTH    6 STREET,BROOKLYN
Special Projects Inspection Team (SPIT),nan,MCDONALD AVENUE,BROOKLYN
General Construction/Plumbing,nan,LASALLE STREET,MANHATTAN
General Construction/Plumbing,nan,BRONXDALE AVENUE,BRONX
General Construction/Plumbing,nan,44 STREET,QUEENS
General Construction/Plumbing,nan,15 AVENUE,BROOKLYN
General Construction/Plumbing,nan,FREEMAN STREET,BRONX
Noise - Residential,nan,GRAND CONCOURSE,BRONX
DOF Property - Reduction Issue,Commercial,nan,MANHATTAN
General Construction/Plumbing,nan,71 STREET,BROOKLYN
General Construction/Plumbing,nan,LINCOLN PLACE,BROOKLYN
SCRIE,Senior Address,nan,MANHATTAN
General Construction/Plumbing,nan,58 STREET,BROOKLYN
Blocked Driveway,Street/Sidewalk,76 STREET,BROOKLYN
SCRIE,Senior Address,nan,QUEENS
Blocked Driveway,Street/Sidewalk,23 AVENUE,QUEENS
Blocked Driveway,Street/Sidewalk,LENNOX ROAD,BROOKLYN
Special Projects Inspection Team (SPIT),nan,38 AVENUE,QUEENS
Noise - Residential,Residential Building/House,WEST   75 STREET,MANHATTAN
General Construction/Plumbing,nan,BRYANT AVENUE,BRONX
Noise - Street/Sidewalk,nan,HILLSIDE AVENUE,MANHATTAN
General Construction/Plumbing,nan,EAST  124 STREET,MANHATTAN
General Construction/Plumbing,nan,MILES AVENUE,BRONX
General Construction/Plumbing,nan,CONEY ISLAND AVENUE,BROOKLYN
General Construction/Plumbing,nan,LUNDI COURT,STATEN ISLAND
General Construction/Plumbing,nan,13 AVENUE,BROOKLYN
Noise - Residential,nan,41 STREET,BROOKLYN
Special Projects Inspection Team (SPIT),nan,DEREIMER AVENUE,BRONX
Noise - Residential,nan,BRADHURST AVENUE,MANHATTAN
General Construction/Plumbing,nan,EAST   28 STREET,BROOKLYN
Taxi Complaint,nan,TAYLOR AVENUE,BRONX
Noise - Street/Sidewalk,nan,CLINTON STREET,MANHATTAN
Noise - Street/Sidewalk,nan,BROOK AVENUE,BRONX
General Construction/Plumbing,nan,SHEPHARD AVENUE,BROOKLYN
Noise - Street/Sidewalk,nan,21 AVENUE,BROOKLYN
General Construction/Plumbing,nan,EAST  171 STREET,BRONX
HEAT/HOT WATER,RESIDENTIAL BUILDING,3 AVENUE,BRONX
Noise - Street/Sidewalk,nan,CLAY STREET,BROOKLYN
Noise - Street/Sidewalk,nan,GATES AVENUE,BROOKLYN
General Construction/Plumbing,nan,SOUTH    9 STREET,BROOKLYN
Noise - Vehicle,nan,SHERIDAN AVENUE,BRONX
General Construction/Plumbing,nan,GREENWICH STREET,MANHATTAN
General Construction/Plumbing,nan,AVENUE L,BROOKLYN
DOF Property - Reduction Issue,Condo Unit,nan,MANHATTAN
Noise - Vehicle,nan,WEST   25 STREET,MANHATTAN
Maintenance or Facility,Park,nan,BROOKLYN
General Construction/Plumbing,nan,QUINCY STREET,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,ADAM CLAYTON POWELL JR BOULEVARD,MANHATTAN
Special Projects Inspection Team (SPIT),nan,9 AVENUE,MANHATTAN
Street Condition,Street,BROOME STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,WASHINGTON AVENUE,BRONX
Blocked Driveway,Street/Sidewalk,RADCLIFF AVENUE,BRONX
Noise - Vehicle,Street/Sidewalk,104 STREET,QUEENS
General Construction/Plumbing,nan,WEST    9 STREET,BROOKLYN
Noise - Vehicle,nan,1 AVENUE,MANHATTAN
Noise - Vehicle,nan,MIDDLETON STREET,BROOKLYN
Noise - Vehicle,nan,WEST   15 STREET,MANHATTAN
Noise - Street/Sidewalk,nan,58 AVENUE,QUEENS
Noise - Street/Sidewalk,nan,BRIGHTON    1 TERRACE,BROOKLYN
General Construction/Plumbing,nan,SCHENECTADY AVENUE,BROOKLYN
Noise - Vehicle,nan,6 AVENUE,MANHATTAN
General Construction/Plumbing,nan,AMBOY ROAD,STATEN ISLAND
Noise - Vehicle,nan,EAST  143 STREET,BRONX
General Construction/Plumbing,nan,5 AVENUE,MANHATTAN
Blocked Driveway,Street/Sidewalk,EAST  220 STREET,BRONX
Rodent,3+ Family Apt. Building,HOE AVENUE,BRONX
Noise - Vehicle,nan,SPRINGFIELD BOULEVARD,QUEENS
Non-Emergency Police Matter,nan,BROADWAY,MANHATTAN
Blocked Driveway,Street/Sidewalk,EAST  226 STREET,BRONX
Special Projects Inspection Team (SPIT),nan,FRANKLIN AVENUE,BROOKLYN
Blocked Driveway,Street/Sidewalk,KNIGHT COURT,BROOKLYN
Street Sign - Damaged,Street,WILLOUGHBY AVENUE,BROOKLYN
Blocked Driveway,Street/Sidewalk,CROSBY AVENUE,BROOKLYN
Blocked Driveway,Street/Sidewalk,PELHAM PARKWAY NORTH,BRONX
Sidewalk Condition,Sidewalk,WEST  237 STREET,BRONX
Sidewalk Condition,Sidewalk,240 STREET,QUEENS
Blocked Driveway,Street/Sidewalk,NELSON AVENUE,BRONX
Violation of Park Rules,Park,nan,STATEN ISLAND
Special Projects Inspection Team (SPIT),nan,WEST   14 STREET,MANHATTAN
Blocked Driveway,Street/Sidewalk,CRESCENT STREET,QUEENS
Blocked Driveway,Street/Sidewalk,MEAD STREET,BRONX
Blocked Driveway,Street/Sidewalk,THOMAS S BOYLAND STREET,BROOKLYN
Blocked Driveway,Street/Sidewalk,EAST   48 STREET,BROOKLYN
Sidewalk Condition,Sidewalk,36 STREET,QUEENS
Blocked Driveway,Street/Sidewalk,DENMAN STREET,QUEENS
Blocked Driveway,Street/Sidewalk,57 STREET,QUEENS
Blocked Driveway,Street/Sidewalk,FOUNTAIN AVENUE,BROOKLYN
Sidewalk Condition,Sidewalk,164 STREET,QUEENS
DOF Property - Update Account,Property Address,nan,QUEENS
Blocked Driveway,Street/Sidewalk,HOLLAND AVENUE,BRONX
Blocked Driveway,Street/Sidewalk,EAST  171 STREET,BRONX
Non-Emergency Police Matter,nan,VIRGINIA AVENUE,STATEN ISLAND
Blocked Driveway,Street/Sidewalk,185 STREET,QUEENS
Blocked Driveway,Street/Sidewalk,QUEENS BOULEVARD,QUEENS
Benefit Card Replacement,NYC Street Address,nan,Unspecified
Blocked Driveway,Street/Sidewalk,19 AVENUE,QUEENS
Blocked Driveway,Street/Sidewalk,BAY PARKWAY,BROOKLYN
Taxi Complaint,nan,WEST STREET,MANHATTAN
Sidewalk Condition,Sidewalk,JEWEL AVENUE,QUEENS
Sidewalk Condition,Sidewalk,FISH AVENUE,BRONX
Blocked Driveway,Street/Sidewalk,ALSTYNE AVENUE,QUEENS
Sidewalk Condition,Sidewalk,EAST   19 STREET,BROOKLYN
Blocked Driveway,Street/Sidewalk,UNION AVENUE,BROOKLYN
HEAT/HOT WATER,RESIDENTIAL BUILDING,GRAND CONCOURSE,BRONX
Blocked Driveway,Street/Sidewalk,92 STREET,QUEENS
Blocked Driveway,Street/Sidewalk,POWELL STREET,BROOKLYN
Blocked Driveway,Street/Sidewalk,HINSDALE STREET,BROOKLYN
Blocked Driveway,Street/Sidewalk,99 STREET,QUEENS
Blocked Driveway,Street/Sidewalk,99 STREET,QUEENS
Blocked Driveway,Street/Sidewalk,WEST    5 STREET,BROOKLYN
Blocked Driveway,Street/Sidewalk,CASE STREET,QUEENS
Smoking,Residential Building,PARK PLACE,BROOKLYN
Street Condition,Street,MORENCI LANE,QUEENS
Street Condition,Street,71 STREET,QUEENS
Sidewalk Condition,Sidewalk,110 STREET,QUEENS
Sidewalk Condition,Sidewalk,RENSSELAER AVENUE,STATEN ISLAND
Blocked Driveway,Street/Sidewalk,CROTONA AVENUE,BRONX
Taxi Report,nan,JFK,QUEENS
Blocked Driveway,Street/Sidewalk,QUEENS BOULEVARD,QUEENS
Vending,nan,STRATFORD AVENUE,BRONX
Blocked Driveway,Street/Sidewalk,IRVING AVENUE,BROOKLYN
Curb Condition,Sidewalk,AVENUE Y,BROOKLYN
Blocked Driveway,Street/Sidewalk,EAST   42 STREET,BROOKLYN
Blocked Driveway,Street/Sidewalk,STOCKHOLM STREET,BROOKLYN
Benefit Card Replacement,NYC Street Address,nan,Unspecified
Blocked Driveway,Street/Sidewalk,RIGA STREET,STATEN ISLAND
DOF Property - Request Copy,Property Address,nan,BRONX
Blocked Driveway,Street/Sidewalk,56 STREET,BROOKLYN
Street Sign - Missing,Street,BRUCKNER BOULEVARD,BRONX
Blocked Driveway,Street/Sidewalk,ESSEX STREET,BROOKLYN
Blocked Driveway,Street/Sidewalk,EAST   39 STREET,BROOKLYN
Street Sign - Damaged,Street,OCEAN PARKWAY,BROOKLYN
Blocked Driveway,Street/Sidewalk,PUTNAM AVENUE,QUEENS
Blocked Driveway,Street/Sidewalk,WEST    5 STREET,BROOKLYN
Blocked Driveway,Street/Sidewalk,64 STREET,BROOKLYN
Street Condition,Vehicle Lane,GUY R BREWER BOULEVARD,QUEENS
Taxi Complaint,nan,CENTRAL PARK WEST,MANHATTAN
Blocked Driveway,Street/Sidewalk,GRANDVIEW AVENUE,QUEENS
Blocked Driveway,Street/Sidewalk,XENIA STREET,QUEENS
Street Sign - Dangling,Street,UTICA AVENUE,BROOKLYN
Blocked Driveway,Street/Sidewalk,SAND LANE,STATEN ISLAND
Blocked Driveway,Street/Sidewalk,ALSTYNE AVENUE,QUEENS
Blocked Driveway,Street/Sidewalk,20 STREET,BROOKLYN
Street Sign - Damaged,Street,GEORGETOWN LANE,BROOKLYN
Blocked Driveway,Street/Sidewalk,EAST   17 STREET,BROOKLYN
Blocked Driveway,Street/Sidewalk,PLYMOUTH AVENUE,BRONX
Blocked Driveway,Street/Sidewalk,HOLLAND AVENUE,BRONX
Blocked Driveway,Street/Sidewalk,68 AVENUE,QUEENS
Blocked Driveway,Street/Sidewalk,BEDFORD AVENUE,BROOKLYN
Taxi Complaint,nan,EAST   67 STREET,MANHATTAN
Blocked Driveway,Street/Sidewalk,58 STREET,BROOKLYN
Taxi Complaint,nan,LGA,QUEENS
Taxi Complaint,nan,WEST   38 STREET,MANHATTAN
Blocked Driveway,Street/Sidewalk,12 STREET,QUEENS
Consumer Complaint,nan,7 AVENUE,MANHATTAN
Blocked Driveway,Street/Sidewalk,PARKSIDE PLACE,BRONX
Taxi Complaint,nan,BROADWAY,MANHATTAN
Blocked Driveway,Street/Sidewalk,EAST    2 STREET,BROOKLYN
Blocked Driveway,Street/Sidewalk,EAST SECOND STREET,BROOKLYN
Blocked Driveway,Street/Sidewalk,69 LANE,QUEENS
Blocked Driveway,Street/Sidewalk,JEROME AVENUE,BRONX
Taxi Complaint,nan,JFK,QUEENS
General Construction/Plumbing,nan,EAST   59 STREET,MANHATTAN
Blocked Driveway,Street/Sidewalk,CLARENCE AVENUE,BRONX
Blocked Driveway,Street/Sidewalk,70 STREET,QUEENS
Blocked Driveway,Street/Sidewalk,BAYCHESTER AVENUE,BRONX
Blocked Driveway,Street/Sidewalk,AMSTERDAM AVENUE,MANHATTAN
Sidewalk Condition,Sidewalk,71 ROAD,QUEENS
Blocked Driveway,Street/Sidewalk,81 STREET,QUEENS
Consumer Complaint,nan,BRIDGE STREET,MANHATTAN
Blocked Driveway,Street/Sidewalk,GRANGER STREET,QUEENS
Blocked Driveway,Street/Sidewalk,CEDAR AVENUE,STATEN ISLAND
Blocked Driveway,Street/Sidewalk,SEDGWICK AVENUE,BRONX
Blocked Driveway,Street/Sidewalk,FISH AVENUE,BRONX
Blocked Driveway,Street/Sidewalk,28 STREET,QUEENS
Blocked Driveway,Street/Sidewalk,GATES AVENUE,QUEENS
Blocked Driveway,Street/Sidewalk,HAMMERSLEY AVENUE,BRONX
Consumer Complaint,nan,PENNSYLVAN AVENUE,BROOKLYN
Consumer Complaint,nan,JAMAICA AVENUE,QUEENS
Consumer Complaint,nan,8 AVENUE,BROOKLYN
Drinking,Store/Commercial,149 STREET,QUEENS
Blocked Driveway,Street/Sidewalk,38 STREET,QUEENS
Blocked Driveway,Street/Sidewalk,BENSON AVENUE,BROOKLYN
Consumer Complaint,nan,LENOX AVENUE,MANHATTAN
Consumer Complaint,nan,ROOSEVELT AVENUE,QUEENS
Consumer Complaint,nan,23 AVENUE,QUEENS
Blocked Driveway,Street/Sidewalk,125 STREET,QUEENS
Curb Condition,Curb,EAST   96 STREET,BROOKLYN
Curb Condition,Curb,ALBANY AVENUE,BROOKLYN
Curb Condition,Sidewalk,WEST  102 STREET,MANHATTAN
Curb Condition,Sidewalk,BRIGHTON   13 STREET,BROOKLYN
Non-Emergency Police Matter,Residential Building/House,SOUNDVIEW LANE,QUEENS
Consumer Complaint,nan,3 AVENUE,MANHATTAN
Consumer Complaint,nan,BAY PARKWAY,BROOKLYN
Consumer Complaint,nan,18 AVENUE,BROOKLYN
Consumer Complaint,nan,ELIOT AVENUE,QUEENS
DOF Property - Request Copy,Property Address,nan,BROOKLYN
Consumer Complaint,nan,BOSTON ROAD,BRONX
Illegal Parking,Street/Sidewalk,EDGEMERE AVENUE,QUEENS
Illegal Parking,Street/Sidewalk,49 STREET,BROOKLYN
Illegal Parking,Street/Sidewalk,137 STREET,QUEENS
Illegal Parking,Street/Sidewalk,72 AVENUE,QUEENS
Illegal Parking,Street/Sidewalk,10 AVENUE,QUEENS
Illegal Parking,Street/Sidewalk,AVENUE O,BROOKLYN
Illegal Parking,Street/Sidewalk,5 STREET,BROOKLYN
Traffic Signal Condition,nan,nan,MANHATTAN
Illegal Parking,Street/Sidewalk,23 AVENUE,QUEENS
Illegal Parking,Street/Sidewalk,THIRD AVENUE,MANHATTAN
Illegal Parking,Street/Sidewalk,70 STREET,QUEENS
Illegal Parking,Street/Sidewalk,60 ROAD,QUEENS
Benefit Card Replacement,NYC Street Address,nan,Unspecified
Illegal Parking,Street/Sidewalk,MANHATTAN AVENUE,BROOKLYN
Consumer Complaint,nan,COURT STREET,BROOKLYN
Illegal Parking,Street/Sidewalk,DEAN STREET,BROOKLYN
Illegal Parking,Street/Sidewalk,78 STREET,BROOKLYN
Illegal Parking,Street/Sidewalk,STEPHENS AVENUE,BRONX
Special Projects Inspection Team (SPIT),nan,DEREIMER AVENUE,BRONX
General Construction/Plumbing,nan,CORPORAL STONE STREET,QUEENS
General Construction/Plumbing,nan,51 STREET,BROOKLYN
Traffic,Street/Sidewalk,46 STREET,QUEENS
Illegal Parking,Street/Sidewalk,64 PLACE,QUEENS
Illegal Parking,Street/Sidewalk,EAST    2 STREET,BROOKLYN
Consumer Complaint,nan,7 AVENUE,BROOKLYN
Street Condition,nan,nan,BROOKLYN
Consumer Complaint,nan,CATHERINE STREET,MANHATTAN
Consumer Complaint,nan,NORTHERN BOULEVARD,QUEENS
Consumer Complaint,nan,GERARD AVENUE,BRONX
Consumer Complaint,nan,EAST  163 STREET,BRONX
Damaged Tree,Street,NETHERLAND AVENUE,BRONX
Consumer Complaint,nan,NOSTRAND AVENUE,BROOKLYN
Consumer Complaint,nan,20 AVENUE,QUEENS
Consumer Complaint,nan,QUEENS BOULEVARD,QUEENS
Consumer Complaint,nan,FLATLAND AVENUE,BROOKLYN
Street Condition,nan,nan,QUEENS
Consumer Complaint,nan,BEACH   20 STREET,QUEENS
Consumer Complaint,nan,NORTHERN BOULEVARD,QUEENS
Consumer Complaint,Commercial Building,MORGAN AVENUE,BROOKLYN
Consumer Complaint,nan,20 AVENUE,QUEENS
Illegal Parking,Street/Sidewalk,BAY   38 STREET,BROOKLYN
Consumer Complaint,nan,POLICE HEADQUARTERS,MANHATTAN
Illegal Parking,Street/Sidewalk,48 STREET,BROOKLYN
Consumer Complaint,Commercial Building,HESTER STREET,MANHATTAN
Illegal Parking,Street/Sidewalk,EAGLE AVENUE,BRONX
Illegal Parking,Street/Sidewalk,HAVEN AVENUE,STATEN ISLAND
Illegal Parking,Street/Sidewalk,110 STREET,QUEENS
Consumer Complaint,nan,JAMAICA AVENUE,QUEENS
DOF Property - Reduction Issue,"1-, 2- and 3- Family Home",nan,BRONX
Consumer Complaint,nan,18 AVENUE,BROOKLYN
Consumer Complaint,nan,LEXINGTON AVENUE,MANHATTAN
Consumer Complaint,nan,STARLING AVENUE,BRONX
Illegal Parking,Street/Sidewalk,10 AVENUE,BROOKLYN
Consumer Complaint,nan,ROOSEVELT AVENUE,QUEENS
Consumer Complaint,Commercial Building,MYRTLE AVENUE,BROOKLYN
Consumer Complaint,Commercial Building,AUSTIN STREET,QUEENS
Indoor Air Quality,3+ Family Apartment Building,ST MARKS AVENUE,BROOKLYN
Mold,Commercial Building,WEST   34 STREET,MANHATTAN
New Tree Request,Street,EDGECOMB AVENUE,MANHATTAN
Consumer Complaint,Commercial Building,FOREST AVENUE,STATEN ISLAND
Illegal Parking,nan,CLINTON STREET,BROOKLYN
Consumer Complaint,Commercial Building,PROSPECT PARK WEST,BROOKLYN
Consumer Complaint,Commercial Building,HESTER STREET,MANHATTAN
Illegal Parking,Street/Sidewalk,109 STREET,QUEENS
Consumer Complaint,nan,MANHATTAN AVENUE,BROOKLYN
Consumer Complaint,nan,QUEENS BOULEVARD,QUEENS
Illegal Parking,Street/Sidewalk,19 AVENUE,BROOKLYN
Illegal Parking,Street/Sidewalk,HEMLOCK STREET,BROOKLYN
Illegal Parking,Street/Sidewalk,WEST    5 STREET,BROOKLYN
Consumer Complaint,nan,KISSENA BOULEVARD,QUEENS
Illegal Parking,Street/Sidewalk,HULL STREET,BROOKLYN
New Tree Request,Street,DECATUR AVENUE,BRONX
New Tree Request,Street,41 STREET,BROOKLYN
Illegal Parking,Street/Sidewalk,MILLER AVENUE,BROOKLYN
Consumer Complaint,nan,37 AVENUE,QUEENS
Consumer Complaint,nan,FLATBUSH AVENUE,BROOKLYN
Consumer Complaint,nan,CROTONA AVENUE,BRONX
Consumer Complaint,nan,FRANCIS LEWIS BOULEVARD,QUEENS
Illegal Parking,Street/Sidewalk,EAST   28 STREET,BROOKLYN
Illegal Parking,Street/Sidewalk,90 AVENUE,QUEENS
Illegal Parking,Street/Sidewalk,149 AVENUE,QUEENS
Overgrown Tree/Branches,Street,MILFORD STREET,BROOKLYN
Illegal Parking,Street/Sidewalk,GREENWOOD AVENUE,BROOKLYN
Illegal Parking,Street/Sidewalk,WEST   82 STREET,MANHATTAN
Illegal Parking,Street/Sidewalk,WILLOUGHBY AVENUE,BROOKLYN
Illegal Parking,Street/Sidewalk,THROOP AVENUE,BROOKLYN
Illegal Parking,Street/Sidewalk,TROY AVENUE,BROOKLYN
Illegal Parking,Street/Sidewalk,LEFFERTS BOULEVARD,QUEENS
Illegal Parking,Street/Sidewalk,BAY   28 STREET,BROOKLYN
Consumer Complaint,nan,MADISON AVENUE,MANHATTAN
Illegal Parking,Street/Sidewalk,23 AVENUE,QUEENS
