Complaint Type,Location Type,Street Name,Borough
DOF Parking - Request Copy,nan,nan,Unspecified
Noise - Street/Sidewalk,Street/Sidewalk,LOCUST AVENUE,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,EAST  169 STREET,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,ROCKAWAY BOULEVARD,QUEENS
Noise - Street/Sidewalk,Street/Sidewalk,ROCKAWAY BOULEVARD,QUEENS
Noise - Street/Sidewalk,Street/Sidewalk,SHERMAN AVENUE,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,UNDERCLIFF AVENUE,BRONX
Illegal Parking,Street/Sidewalk,LAUREL HILL BOULEVARD,Unspecified
Noise - Residential,Residential Building/House,HOFFMAN STREET,BRONX
Noise - Residential,Residential Building/House,SUMMERFIELD STREET,QUEENS
Broken Muni Meter,Street,nan,STATEN ISLAND
Noise - Residential,Residential Building/House,62 STREET,BROOKLYN
Noise - Residential,Residential Building/House,CRUGER AVENUE,BRONX
Noise - Residential,Residential Building/House,WEST  187 STREET,MANHATTAN
Noise - Residential,Residential Building/House,WEST  175 STREET,BRONX
Noise - Residential,Residential Building/House,LINDEN STREET,QUEENS
Noise - Residential,Residential Building/House,BULWER PLACE,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,WEST  179 STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,SEDGWICK AVENUE,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,WEST  114 STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,EAST  132 STREET,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,EAST   19 STREET,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,ARDEN STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,HAWTHORNE STREET,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,FRANKLIN AVENUE,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,EAST  122 STREET,MANHATTAN
Noise - Street/Sidewalk,Street/Sidewalk,WILLETS POINT BOULEVARD,QUEENS
Street Condition,nan,nan,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,EAST  169 STREET,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,WEST  140 STREET,MANHATTAN
DOF Property - Request Copy,Property Address,nan,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,5 AVENUE,BROOKLYN
Noise - Street/Sidewalk,Street/Sidewalk,FOX STREET,BRONX
Noise - Street/Sidewalk,Street/Sidewalk,CYPRESS AVENUE,QUEENS
Noise - Residential,Residential Building/House,WEST  186 STREET,MANHATTAN
Noise - Residential,Residential Building/House,MORNINGSIDE AVENUE,MANHATTAN
Noise - Residential,Residential Building/House,78 AVENUE,QUEENS
Noise - Residential,Residential Building/House,ADAM CLAYTON POWELL BOULEVARD,MANHATTAN
Noise - Residential,Residential Building/House,WATSON AVENUE,BRONX
Noise - Residential,Residential Building/House,BERGEN STREET,BROOKLYN
Noise - Residential,Residential Building/House,WEBSTER AVENUE,BRONX
DOF Property - Reduction Issue,"1-, 2- and 3- Family Home",nan,QUEENS
Noise - Residential,Residential Building/House,JEFFERSON AVENUE,BROOKLYN
